name;title;category;tag;blurb;hp;hpperlevel;movespeed;armor;attackrange;hpregen;attackdamage;attackdamageperlevel;attackspeedperlevel
Bard;a vigyázó vándor;Support;Support,Mage;Bard olyan helyeket járt be, amelyek messze meghaladják a halandók képzeletét. Valoran legnagyobb tudósai tették fel egész életüket arra, hogy megértsék az õt körüllengõ rejtélyt. Ezt a titokzatos lényt megannyi névvel illették Valoran történelme ...;535;89;330;25;500;5,4;52;3;2
Blitzcrank;a hatalmas gõzgólem;Tank;Tank,Fighter;Zaun az a hely, ahol a mágia és a tudomány egyaránt balul ütött ki, a városállam pedig megszenvedte a szertelen kísérletek sokaságát. Ennek ellenére a zauni enyhe szabályozás még ma is lehetõvé teszi a kutatók és feltalálók számára a tudomány ...;582,6;95;325;24,38;125;8,51;61,54;3,5;1,13
Brand;a lángoló bosszú;Mage;Mage;Valahol a távoli Lokfarban élt egyszer egy Kegan Rodhe nevû tengeri martalóc. Ahogyan a hozzá hasonlók, Kegan is keresztül-kasul járta a vizeket a bajtársaival, akikkel kifosztottak minden szerencsétlent, aki csak felkeltette az érdeklõdésüket. ...;507,68;76;340;21,88;550;5,42;57,04;3;1,36
Braum;Freljord szíve;Support;Support,Tank;– Szeretnéd, ha mondanék egy esti mesét?– Nagyi, én már túl nagy vagyok az ilyesmihez.– Ahhoz sosem lehetsz túl nagy, hogy meghallgass egy történetet.A kislány kelletlenül bekászálódott az ágyba, tudva, hogy ezt a csatát nem ...;576,16;87;335;26,72;125;8,18;55,376;3,2;3,5
Caitlyn;Piltover seriffje;Marksman;Marksman;„Gyerünk, fuss csak! Kapsz öt perc egérutat.”Az egyik ok, amiért Piltovert a Fejlõdés városaként is szokás emlegetni, az a rendkívül alacsony bûnözési arány. De ez nem volt mindig így. Minden rendû-rangú útonálló és tolvaj elõszeretettel ...;524,4;80;325;22,88;650;5,67;53,66;2,18;4
Camille;az acélhölgy;Fighter;Fighter,Tank;Camille Ferros egy élõ fegyver, elegáns elit ügynök, akit arra képeztek, hogy a törvény határain kívül tevékenykedjen, és mindent megtesz azért, hogy a piltoveri gépezet és zauni tükörképe közötti kereskedelem zavartalanul mûködjön. Jó modorra ...;575,6;95;340;26;125;8,5;62;3,5;2,5
Cassiopeia;a kígyó ölelése;Mage;Mage;Cassiopeia iszonyatos teremtmény. Ez a félig nõ, félig kígyó szörnyeteg akár egy pillantásával is képes ölni. Noxus egyik legbefolyásosabb családjának legfiatalabb lánygyermekeként egykor gyönyörû és ravasz csábító volt, aki a legkérgesebb szívû ...;525;75;328;25;550;5,5;53;3;1,5
Cho'Gath;az Üresség réme;Tank;Tank,Mage;Létezik egy hely a dimenziók és a világok között. Egyeseknek ez a Túlvilág, másoknak az Ismeretlen. Azonban akik valóban ismerik, azok számára ez az Üresség. A neve ellenére az Üresség egyáltalán nem üres, inkább megnevezhetetlen dolgok gyûjtõhelye, ...;574,4;80;345;28,88;125;8,925;61,156;4,2;1,44
Corki;a vakmerõ tüzér;Marksman;Marksman;Amikor Heimerdinger és yordle kollégái Piltoverbe költöztek, a tudományt választották életmódjuknak, és szinte azonnal számos úttörõ munkával járultak hozzá a technomágiai közösség gyarapodásához. A yordlék, ha híján vannak a szellemi kalibernek, ...;512,76;82;325;23,38;550;5,42;56;3,5;2,3
Darius;Noxus keze;Fighter;Fighter,Tank;Semmi nem jelképezheti jobban Noxus erejét, mint Darius, a nemzet legrettegettebb és legharcedzettebb katonája. A fiatalon árván maradt Dariusnak meg kellett küzdenie azért, hogy õ és az öccse életben maradjon. Mikorra belépett a seregbe, már egy ...;582,24;100;340;30;175;9,845;56;5;1
Diana;a Hold bajnoka;Fighter;Fighter,Mage;„Én vagyok a fény, amely a Hold lelkében lakozik.”Diana ívelt holdpengéjével indul harcba a lunarik harcosaként. Olyan hit nevében küzd, amelyet szinte teljesen számûztek a Targon-hegy vidékérõl. Az éjjeli holdfényben szikrázó téli hó színét ...;589,2;90;345;26,048;150;7,425;53,04;3;2,25
Draven;a dicsõ hóhér;Marksman;Marksman;Bátyjával, Dariusszal ellentétben Dravent sosem elégítette ki a harctéri gyõzelem. Elismerés, ünneplés és dicsõség után sóvárgott. Elõször a noxusi hadseregben kereste a nagyságot, de színészi hajlamait ott a legkevésbé sem értékelték. Azon ...;557,76;82;330;25,544;550;6,175;55,8;2,91;2,7
Dr. Mundo;a zauni õrült;Fighter;Fighter,Tank;„Óvakodj a zauni õrülttõl! Az õ szemében te már rég halott vagy.”Úgy tartják, a Dr. Mundóként ismert férfi lelkiismeret nélkül született. Ehelyett olthatatlan vágy élt benne, hogy a kísérletezéseivel fájdalmat okozzon. Zaunban, ahol ...;582,52;89;345;26,88;125;7,76;61,27;3;2,8
Ekko;a fiú, aki legyõzte az idõt;Assassin;Assassin,Fighter;Ekko, a Zaun sötét sikátoraiban nevelkedett fiatal zseni az idõ manipulálásával minden helyzetet a maga javára képes fordítani. Saját találmánya, a Zéró meghajtó segíti, hogy bebarangolja a lehetséges valóságok útvesztõjét. Amikor épp nem a ...;580;80;340;27;125;9;55;3;3,3
Elise;a pókkirálynõ;Mage;Mage,Fighter;„A szépség is fegyver, és gyorsabb bármilyen pengénél.”Elise egy gyilkos ragadozó, aki egy világtól elzárt, fénytelen palotában él a noxusi Halhatatlan Bástya mélyén. Egykor halandó volt, egy valaha hatalmas nemesi ház úrnõje, de egy gonosz ...;529,4;80;325;22,128;550;5,705;50,54;3;1,75
Evelynn;az árnyjáró;Assassin;Assassin,Mage;A gyors és halálos Evelynn Runaterra egyik legjobb – és legdrágább – bérgyilkosa. Képes eggyé válni az árnyakkal, és türelmesen cserkészi be áldozatát, kivárva a megfelelõ pillanatot. Bár Evelynn nyilvánvalóan nem teljesen ember, továbbra sem ...;531,2;90;340;26,5;125;9,82;53,88;3,5;3,6
Ezreal;a tékozló felfedezõ;Marksman;Marksman,Mage;Ezreal, a fiatal és merész kalandor Runaterra legtávolibb és legelhagyatottabb sarkaiban is megfordult. Az õsi Shurima elsüllyedt romjaihoz indított expedíció során egy elképesztõ varázserõt rejtõ amulettre bukkant. Valószínûleg egy Felemelkedett ...;484,4;80;325;21,88;550;6,42;55,66;2,41;2,8
Fiddlesticks;a végzet hírnöke;Mage;Mage,Support;Fiddlesticks közel húsz évig egyedül állt a Háború Intézetének legkeletebbre esõ idézõkamrájában. Csupán ijesztõ tekintetének égõ smaragdzöld fénye járta át porlepte otthonának dohos sötétségét. Ez az a hely, ahol a Végzet Hírnöke virraszt csendesen. ...;524,4;80;335;20,88;480;5,605;48,36;2,625;2,11
Fiora;a nagy párbajhõs;Fighter;Fighter,Assassin;„Eljöttem, hogy a becsület nevében végezzek veled. És bár beléd nem szorult egy szemernyi sem, ettõl függetlenül végzek veled.”Fiora Valoran legrettegettebb párbajhõse, akinek nyers modora, éles esze és még gyorsabb kardja egyaránt jól ismert. ...;550;85;345;24;150;8,25;60;3,3;3,2
Fizz;az árapály trükkmestere;Assassin;Assassin,Fighter;Évszázadokkal ezelõtt egy õsi vízi faj titkos várost épített egy hegy alatt az óceánban. Bár nekik is megvoltak a maguk ellenségei, a város, ez az áthatolhatatlan erõd, biztonságot nyújtott számukra, amelyben könnyelmûen megfeledkeztek a falakon kívül ...;558,48;86;335;22,412;175;8,175;58,04;3;3,1
Galio;az õrzõ bánata;Tank;Tank,Mage;„Olyan, hogy jóvátétel, nem létezik. Csak a bûnhõdés.”Jóval a mágia szabályozásának kezdete elõtt a varázslók a mesterséges élet létrehozásával kísérleteztek. Bár mára betiltották, a gólemek értelemmel való felruházása egykor nem volt ...;577,8;85;335;26,88;125;8,71;61,97;3,375;1,2
Gangplank;a sósvízi veszedelem;Fighter;Fighter;„Már akkor torkokat metszettem el és noxusi gályákat küldtem a tenger fenekére, amikor te még pelenkában rohangáltál, kölyök. Nem akarsz velem ujjat húzni.”Gangplank kiszámíthatatlan és brutális. A trónjától megfosztott kalózkirálytól ...;540;82;345;26;125;6;56;3;3,2
Garen;Demacia ereje;Fighter;Fighter,Tank;Akár ünnepelték, akár lenézték, a demaciai hadsereg elszántságát mindig is tisztelték egész Valoranban. A zéró tolerancia elvén alapuló erkölcsi kódexüket polgárok és katonák egyaránt szigorúan veszik. A harcban ez azt jelenti, hogy a demaciai ...;616,28;84,25;340;27,536;175;7,84;57,88;4,5;2,9
Gnar;a hiányzó láncszem;Fighter;Fighter,Tank;A dzsungel nem bocsátja meg a vakságot. Minden törött ágnak megvan a maga története.Minden teremtményt levadásztam már ebben a dzsungelben. Biztos voltam benne, hogy már semmilyen kihívás nem vár itt rám, de most megjelent valami új. Minden ...;540;65;325;23;175;2,5;51;3;6
Gragas;a csõcselék felbujtója;Fighter;Fighter,Mage;Az egyetlen dolog, ami Gragas számára még a harcnál is fontosabb, az ivás. Az erõs sör iránti olthatatlan szomjúságától vezérelve egyre hathatósabb és különlegesebb hozzávalók után kutat, hogy szeszfõzõ kazánjában lepárolhassa azokat. Ez a lobbanékony ...;583,52;89;330;26,048;125;5,5;61,38;3,5;2,05
Graves;a törvényen kívüli;Marksman;Marksman;Malcolm Graves körözés alatt áll minden országban, városban és birodalomban, ahol valaha is megfordult. Kõkemény, törhetetlen akaratú és könyörtelen férfi, aki bûnözõi életmódjával komoly vagyont szerzett, de mindig gyorsan el is vert minden egyes ...;551,12;84;340;24,376;425;6,675;60,83;2,41;2,6
Hecarim;a háború árnyéka;Fighter;Fighter,Tank;„Törjétek meg a soraikat, és gázoljátok le mindet, irgalom nélkül. Tiporjátok el az élõket, és lakmározzatok a rettegésükbõl.”'Hecarim egy páncélos óriás, aki az Árny-szigetekrõl indul meg szellemlovasai élén, hogy az élõkre vadásszon. Ember ...;580;90;345;26,72;175;7;58;3,2;2,5
Heimerdinger;a megbecsült feltaláló;Mage;Mage,Support;Cecil B. Heimerdinger professzor naplójából10. 14.09:15Bandleváros meteorológiai viszonyai optimálisak. A légköri nyomás tökéletes a mai kísérletekhez!Ma délután elvégzem a Tridiminiumobulátor ötödik tesztjét. Még némi ...;476;75;340;19,04;550;11,005;55,536;2,7;1,36
Illaoi;a kraken papnõ;Fighter;Fighter,Tank;„Nem vagyok a szóvirágok híve. A törött csontok jobb tanítók.”Illaoi megingathatatlan hite mellett hatalmas ereje is eltörpül. A Nagy Kraken prófétájaként egy hatalmas, aranyból készült bálvánnyal szakítja ki ellenfelei lelkét a testükbõl, és ...;585,6;95;340;26;125;9,5;60;5;2,5
Irelia;a pengék akarata;Fighter;Fighter,Assassin;„A kard úgy cikázott, mintha vérrel festene.”Runaterra leglélegzetelállítóbb és leghalálosabb harcmûvészeti ágai közül sokat az ioniaiak fejlesztettek ki – felvilágosult törekvéseik egyik megnyilvánulásaként. A legfigyelemreméltóbb pengestílus ...;607,2;90;345;25,3;125;8,59;61,544;3,3;3,2
Ivern;a zöld barát;Support;Support,Mage;Szederláb Ivern – vagy ahogy a legtöbben ismerik, a Zöld barát –, ez a furcsa, félig ember, félig fa szerzet az élet védelmezõjeként Runaterra erdõit járja. Jól ismeri a természet titkait, és mély barátságot ápol minden olyan lénnyel, amely a ...;580;90;330;22;125;6,9;50;3;3,4
Janna;a vihar haragja;Support;Support,Mage;Akadnak olyan varázslók, akik felhagynak a tanult mágiával, és átadják magukat a természet elemi erõinek. Ilyen varázsló Janna is, aki árvaként nõtt fel a Zaun városállamát jellemzõ káoszban, és itt kezdett el megismerkedni a mágiával is. Janna az ...;487,04;78;335;19,384;475;5,42;51,956;2,95;2,61
IV. Jarvan;Demacia eszménye;Tank;Tank,Fighter;„Csupán egy igazság létezik, és azt a lándzsám hegyén találod.”Demacia uralkodói családjaként a Fényõrzõk vérvonalának tagjai évszázadok óta azzal töltötték az életüket, hogy hadat viseljenek a demaciai erkölcs ellenzõivel szemben. Azt ...;571,2;90;340;29;175;8,175;55,712;3,4;2,5
Jax;a fegyverek nagymestere;Fighter;Fighter,Assassin;Ritkán fordul elõ, hogy egy hõst azon tettei határoznak meg, amiket a Legendák Ligájának tagjaként, és nem az elõélete során vitt véghez. Ez a helyzet Jax esetében, akirõl kijelenthetõ, hogy jelenleg õ a Háború Intézetének legeredményesebb ...;592,8;85;350;27,04;125;8,37;61,97;3,375;3,4
Jayce;a holnap védelmezõje;Fighter;Fighter,Marksman;A különleges értelemmel, vonzerõvel és egyedi átalakítható pörölyével felvértezett Jayce szülõvárosa, Piltover védelméért él. Azonban jóval azelõtt, hogy nemzete hõsként emlegette volna, ígéretes ifjú feltaláló hírében állt. Amikor Piltover városa ...;571,2;90;335;22,38;125;7,34;50,38;3,5;3
Jhin;a virtuóz;Marksman;Marksman,Assassin;„A mûvészethez kegyetlenség is kell.”Jhin egy pedáns alapossággal dolgozó pszichopata bûnözõ, aki szerint a gyilkolás mûvészet. Egykor egy ioniai börtönben raboskodott, de az országot uraló tanácson belül mûködõ titkos szövetség kiszabadította ...;540;85;330;20;550;6;53;4;0
Jinx;a nagyágyú;Marksman;Marksman;Jinx lételeme a zavarkeltés, és tettei következményeivel mit sem törõdve csak pusztítást és pánikot hagy maga után, amerre jár. Mániákus és lobbanékony természetû bûnözõ, aki az unalmat gyûlöli a legjobban, és gyermeteg örömmel hívja pokoli táncra a ...;517,76;82;325;22,88;525;5,84;58,46;2,41;1
Kalista;a bosszú lándzsája;Marksman;Marksman;„Aki ellen vétkeznek, annak igazságot szolgáltatunk. Akit bántanak, annak nevében visszavágunk. Akit elárulnak, azért a Bosszú Lándzsája vesz elégtételt!”Kalista a harag és a megtorlás szelleme, egy halhatatlan, bosszúálló lidérc, egy páncélba ...;517,76;83;325;19,012;550;6;63;2,9;2,5
Karma;a felvilágosult;Mage;Mage,Support;Karma megtörhetetlen akaratú nõ, aki határtalan spirituális erõvel rendelkezik. Õ Ionia testet öltött lelke. A harcmezõn lelkesítõ jelenség, amint védelmezi a szövetségeseit és megfutamítja az ellenfeleit.  Karma erõskezû vezetõ, aki a forradalmi hév ...;522,44;83;335;20,384;525;5,62;53,544;3,3;2,3
Karthus;a halál énekese;Mage;Mage;„A halál nem az út vége, hanem csupán a kezdet...”Karthus az elmúlás hírnöke, egy élõholt szellem, akinek kísérteties dala elõrejelzi, hogy megjelenésével milyen borzalmak veszik majd kezdetüket. Az élõk félnek az élõholt lét örökkévalóságától,...;516;75;335;20,88;450;6,42;45,66;3,25;2,11
Kassadin;az Üresség vándora;Assassin;Assassin,Mage;Létezik egy hely a dimenziók és világok között. Egyeseknek ez a Túlvilág, másoknak az Ismeretlen. A legtöbben viszont csak úgy ismerik: az Üresség. A neve ellenére az Üresség egyáltalán nem üres, hanem megnevezhetetlen dolgok gyûjtõhelye, olyan ...;564,04;78;340;23,376;150;7,79;58,852;3,9;3,7
Katarina;a baljós tõr;Assassin;Assassin,Mage;"Katarinát páratlan gyilkos ösztönei Noxus megbecsült orgyilkosává tették; családjának hírneve messze földekre elért. Bár szenvedélye folyamatosan mind nagyobb tettekre sarkallja õt, néha bizony tévútra is vezetheti.Katarina gyerekkorától ...";590;82;340;27,88;125;7,5;58;3,2;2,74
Kayle;az igazságosztó;Fighter;Fighter,Support;Egy távoli világban, ahol még mindig dúl az õsi háború, Kayle hatalmas hõsnek számított. A legkiválóbb harcosa volt annak a halhatatlan fajnak, amely a mindenkori gonosz elpusztítására esküdött fel. Kayle tízezer évig lankadatlanul küzdött a népéért, ...;574,24;93;335;26,88;125;8,26;51;2,8;2,2
Kennen;a vihar szíve;Mage;Mage,Marksman;Létezik egy õsi, az Ioniai-szigetekrõl származó rend, amelynek küldetése az egyensúly megõrzése. Rend, káosz, fény, sötétség – mindennek tökéletes harmóniát kell alkotnia, az univerzum törvénye szerint. A Kinkou néven ismeretes rend az árnyharcosok ...;535,72;79;335;24,3;550;5,59;50,544;3,3;3,4
Kha'Zix;az Üresség ragadozója;Assassin;Assassin,Fighter;Kha'Zix az Ürességbõl származó ragadozó, aki azért lopózott át a saját világából, hogy eleméssze Valoran legígéretesebb teremtményeit. Minden gyilkossággal magába szívja áldozatainak erejét és ezáltal egyre hatalmasabbá válik. Kha'Zix leginkább Rengar ...;572,8;85;350;27;125;7,51;55,21;3,1;2,7
Kindred;az örökkévalóság vadászai;Marksman;Marksman;„Mondd, Báránykám, kiket ragadhatunk el?”„Bárkit, kedves Farkas.”Kindredben két önálló lélek lakozik, akik sosem válnak szét, és a halál két arcát testesítik meg. Bárány nyilai gyors elmúlást hoznak annak, aki elfogadja a sorsát. Farkas ...;540;85;325;20;500;7;54;1,7;2,5
Kled;a zsémbes lovag;Fighter;Fighter,Tank;„Minden épelméjû elfutna... de én nem vagyok az a menekülõs fajta!”Kled egy félelmet nem ismerõ, harapós természetû harcos, közkedvelt népmesei hõs Noxusban. A nemzet dühödt harciasságának élõ megtestesülése õ, akit a katonák rajongva ...;340;70;345;26;125;6;55;3;3,5
Kog'Maw;a végtelenség szája;Marksman;Marksman,Mage;„Ha ilyen, amikor éhes, inkább nem szeretném tudni, milyen, amikor igazán mérges.”Malzahar, a próféta Ikáthiában született újjá, és az õt odavezetõ hang onnantól fogva mélyen befészkelte magát az elméjébe. Ez a belsõ hang rettentõ feladatot ...;517,76;82;325;19,88;500;5,92;57,46;2,41;2,65
LeBlanc;a megtévesztõ;Assassin;Assassin,Mage;Minden városnak van egy sötét oldala, még azoknak is, amelyeknek a hírneve eleve kétes árnyalatú. Noxus sem jelent kivételt ez alól, holott már a nevének puszta kiejtése is tisztelettel vegyes ellenérzést ébreszt. A város sötét, kanyargó utcái alatt, ...;516;80;340;21,88;525;7,4;54,88;3,5;1,4
Lee Sin;a világtalan szerzetes;Fighter;Fighter,Assassin;Kiskamaszként Lee Sin egyetlen vágya az volt, hogy idézõvé váljon. Akaratereje és elszántsága messze kiemelte a kortársai közül, olyannyira, hogy képességeire felfigyelt Reginald Ashram, a Liga akkori fõtanácsosa is. Az Arcanum Majoris tanoncaként Lee ...;570,8;85;350;24,216;125;7,425;61,176;3,2;3
Leona;a sugárzó hajnal;Tank;Tank,Support;„Ha úgy akarsz ragyogni, mint a nap, elõbb el kell viselned a tüzét.”Leonát a nap tüze járja át. A solarik harcos papjaként elszántan védi a Targon-hegyet Fénypengéjével és a Hajnalhasadás pajzsával. Bõre csillagtûztõl fénylik, a szemében ...;576,16;87;335;27,208;125;8,425;60,04;3;2,9
Lissandra;a jégboszorkány;Mage;Mage;Lissandra mágiája a jég tiszta erejét valami sötétté és rettenetessé változtatja. A fekete jég erejével nem egyszerûen megfagyasztja az ellenségeit – karóba húzza és összezúzza azokat, akik szembeszegülnek vele. Észak rettegõ lakói Jégboszorkánynak ...;506,12;75;325;20,216;550;6,92;50,536;2,7;1,36
Lucian;a megtisztító;Marksman;Marksman;Lucian õsi hatalommal felruházott varázsfegyvereit forgatva vitéz õrzõként száll szembe az élõholtak seregével. Rideg eltökéltsége sosem inog meg, nézzen bár szembe bármilyen rettenettel, mielõtt pusztítótüzének áradata elsöpörné azt a föld színérõl. ...;554,4;80;335;24,04;500;6,19;57,46;2,41;3,3
Lulu;a tündérboszorkány;Support;Support,Mage;A Liga minden hõse közül talán Lulura a leginkább igaz, hogy a saját szabályai szerint játszik. Bandlevárosban töltött ifjúsága során fõleg magányos erdei sétákkal és álmodozással ütötte el az idejét. Nem kerülte õ az embereket, de Bandleváros pezsgõ ...;552,76;74;330;19,216;550;6,005;46,368;2,6;2,25
Lux;a fény úrnõje;Mage;Mage,Support;Luxanna a tekintélyes Koronaõr családba született, amelynek tagjai példásan szolgálták Demaciát, így Luxannára is fényes jövõ várt. A család egyetlen leánygyermekeként gyorsan hozzászokott a rangjának megfelelõ kiemelkedõ oktatáshoz és a pazar ...;477,72;79;330;18,72;550;5,42;53,544;3,3;1,36
Malphite;a monolitszilánk;Tank;Tank,Fighter;Létezik egy világ, ahol tökéletes harmónia uralkodik, és minden a nagy egész része. A Monolit maga a teremtés esszenciája, és lakói csupán a részei annak. Szimmetriájának és a bizonytalanság szinte teljes hiányának köszönhetõen egyszerûen gyönyörû. Az ...;574,2;90;335;28,3;125;7;61,97;3,375;3,4
Malzahar;az Üresség prófétája;Mage;Mage,Assassin;Sokan tébolyultak meg a shurimai nap perzselõ tekintetétõl, Malzahar azonban egy fagyos éjszakán veszítette el a józan eszét. Malzahar látnoknak született, megadatott neki a jövõbe látás ajándéka. Adottságai a képzetlensége ellenére is Runaterra egyik ...;525;75;335;20;500;6;55;3;1,5
Maokai;a hatalmas ent;Tank;Tank,Mage;„Csupa üres, lélektelen váz vesz körül, és semmitõl sem félnek... de én megtanítom õket a rettegésre.”Maokai egy hatalmas, dühödt ent, aki az Árny-szigetek természetellenes lakói ellen küzd. Az otthonát elpusztító mágikus kataklizma miatt ...;572,2;90;335;28,72;125;7;63,544;3,3;2,125
Master Yi;a wuju nagymester;Assassin;Assassin,Fighter;Az õsi harcmûvészet, a Wuju gyakorlásával Master Yi olyan tökélyre fejlesztette a testét és az elméjét, hogy a gondolat és a tett számára egy és ugyanaz. Bár erõszakot csak a legvégsõ esetben hajlandó alkalmazni, annyira gyorsan és olyan eleganciával ...;598,56;92;355;24,04;125;7,59;60,04;3;2
Miss Fortune;a fejvadász;Marksman;Marksman;„Minél nagyobb a kockázat, annál nagyobb a vérdíj.”Gyönyörû és veszélyes: Miss Fortune azon kevesek egyike, akik mindkettõt elmondhatják magukról. Bilgewater egyik leghírhedtebb fejvadászának legendája kilyuggatott holttestek és fülön csípett ...;530;85;325;24,04;550;6,19;46;1;3
Wukong;a majomkirály;Fighter;Fighter,Tank;A Rúnaháborúk zûrzavarában eltûnt egy hatalmas rúnakõ a Dögvész-dzsungel mélyén. Érintetlenül hevert ott évszázadokig, de a belõle áradó erõteljes mágia lassanként öntudatra keltette a követ körülvevõ természetet. Különösen erõssé tett egy csapatnyi ...;577,8;85;345;24,88;175;6,19;59,876;3,2;3
Mordekaiser;a vaslidérc;Fighter;Fighter;„Idõvel minden elpusztul… én mégis élek.”A baljóslatú élõhalott, Mordekaiser az Árny-szigeteket kísértõ legfélelmetesebb és legtöbb gyûlölettel átitatott lelkek egyike. Több száz éve létezik, és a végsõ haláltól nekromantikus mágia és saját ...;525;73;325;20;175;4;61;5;2,2
Morgana;a bukott angyal;Mage;Mage,Support;Létezik egy távoli világ, ahol szemkápráztatóan kecses szárnyas lények élik örökkévaló életüket – és ahol még mindig egy õsi viszály dúl. Mint annyi konfliktus, ez is családokat szakított ketté. Az egyik oldal a tökéletes rend és igazság bajnokának ...;547,48;86;335;25,384;450;5,705;55,46;3,5;1,53
Nami;a dagályhívó;Support;Support,Mage;Nami az óceánok õsi erejét uralja, egyaránt kihasználva misztikus gyógyító hatalmát és a vad hullámok nyers erejét is. Bár sokan kételkedtek benne, Naminak megvolt a bátorsága és eltökéltsége ahhoz, hogy egy veszélyes küldetésre vállalkozzon akkor, ...;489,32;74;335;19,72;550;5,42;51,208;3,1;2,61
Nasus;a homokdûnék õre;Fighter;Fighter,Tank;„Ami elbukott, ismét naggyá lehet.”Nasus egy tiszteletet parancsoló, sakálfejû Felemelkedett lény az õsi Shurimából, egy hõs, akit a sivatag népei félistenként tisztelnek. Rendkívüli intelligenciájának köszönhetõen a tudás õrzõje és páratlan ...;561,2;90;350;24,88;125;9,01;59,18;3,5;3,48
Nautilus;a mélység titánja;Tank;Tank,Fighter;Nautilus egykor tengerész volt, akit azzal bízott meg a Háború Intézete, hogy derítse fel az Õrzõ tengerének ismeretlen területeit. Expedíciója mélyen behatolt az ismeretlen vizekre, és legénységével végül egy fekete, ragacsos folyadékra leltek, ami ...;576,48;86;325;26,46;175;8,37;57,544;3,3;1
Nidalee;a vadászó bestia;Assassin;Assassin,Fighter;Kevés ember, és még annál is kevesebb hõs él a Nagy-választóhegységtõl délre fekvõ elátkozott és veszélyes vidéken. E terület még mindig magán viseli a legutóbbi rúnaháborúk nyomait, és ez a titokzatos Kumungu-dzsungelre különösen igaz. Ezeken a ...;511,2;80;335;22,88;525;6,005;53;3,5;3,22
